latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
13.03446,79.98067,295.71,0.41,0.37,2026-07-22,2010,N20,VIIRS,n,2.0NRT,269.51,0.23,N
13.21343,80.25954,306.52,0.38,0.36,2026-07-27,2019,N20,VIIRS,n,2.0NRT,290.28,2.36,N
12.84982,79.90521,328.55,0.57,0.43,2026-07-28,1957,N20,VIIRS,n,2.0NRT,289.22,6.33,N
12.85139,79.90334,330.05,0.57,0.43,2026-07-28,1957,N20,VIIRS,n,2.0NRT,289.42,6.18,N
12.88945,79.85281,305.1,0.38,0.43,2026-07-28,1957,N20,VIIRS,n,2.0NRT,287.0,0.87,N
13.18421,79.82563,303.98,0.39,0.44,2026-07-28,1957,N20,VIIRS,n,2.0NRT,284.27,1.44,N
13.20364,80.2969,304.89,0.55,0.42,2026-07-28,1957,N20,VIIRS,n,2.0NRT,282.56,1.36,N
13.07066,80.20023,309.22,0.48,0.48,2026-07-31,2042,N20,VIIRS,n,2.0NRT,290.78,0.72,N
12.80698,79.95535,331.35,0.38,0.36,2026-08-11,803,N20,VIIRS,l,2.0NRT,301.86,3.13,D
13.15991,80.28368,303.75,0.38,0.43,2026-08-11,2036,N20,VIIRS,n,2.0NRT,278.56,1.01,N
12.85167,79.90427,341.34,0.38,0.36,2026-08-12,2019,N20,VIIRS,n,2.0NRT,285.65,9.3,N
13.16184,80.28695,302.34,0.5,0.66,2026-08-15,2101,N20,VIIRS,n,2.0NRT,281.67,1.69,N
12.55336,80.08884,337.4,0.41,0.37,2026-08-16,809,N20,VIIRS,n,2.0NRT,301.82,3.09,D
12.61728,80.07069,335.41,0.41,0.37,2026-08-16,809,N20,VIIRS,n,2.0NRT,303.58,3.68,D
13.22706,80.0965,314.08,0.4,0.37,2026-08-17,2023,N20,VIIRS,n,2.0NRT,292.69,3.28,N
12.72135,79.78169,335.43,0.46,0.39,2026-08-21,816,N20,VIIRS,n,2.0NRT,298.23,3.63,D
12.79142,79.90376,332.75,0.47,0.4,2026-08-21,816,N20,VIIRS,n,2.0NRT,296.99,2.83,D
