feature_set,config,max_depth,min_samples_leaf,class_weight,threshold,macro_f1,balanced_accuracy,fire_precision,fire_recall,fire_f1
BASE,1,3.0,1,balanced,0.4,0.8929,0.9545,0.7143,1.0,0.8333
BASE,1,3.0,1,balanced,0.45,0.8929,0.9545,0.7143,1.0,0.8333
BASE,2,3.0,1,balanced_subsample,0.25,0.8929,0.9545,0.7143,1.0,0.8333
BASE,2,3.0,1,balanced_subsample,0.3,0.8929,0.9545,0.7143,1.0,0.8333
BASE,2,3.0,1,balanced_subsample,0.35,0.8929,0.9545,0.7143,1.0,0.8333
BASE,3,3.0,1,"{'INDUSTRIAL_FIRE': 2.0, 'PERSISTENT_INDUSTRIAL_SOURCE': 1.0}",0.35,0.8929,0.9545,0.7143,1.0,0.8333
BASE,3,3.0,1,"{'INDUSTRIAL_FIRE': 2.0, 'PERSISTENT_INDUSTRIAL_SOURCE': 1.0}",0.4,0.8929,0.9545,0.7143,1.0,0.8333
BASE,4,3.0,1,"{'INDUSTRIAL_FIRE': 3.0, 'PERSISTENT_INDUSTRIAL_SOURCE': 1.0}",0.35,0.8929,0.9545,0.7143,1.0,0.8333
BASE,4,3.0,1,"{'INDUSTRIAL_FIRE': 3.0, 'PERSISTENT_INDUSTRIAL_SOURCE': 1.0}",0.4,0.8929,0.9545,0.7143,1.0,0.8333
BASE,4,3.0,1,"{'INDUSTRIAL_FIRE': 3.0, 'PERSISTENT_INDUSTRIAL_SOURCE': 1.0}",0.45,0.8929,0.9545,0.7143,1.0,0.8333
BASE,5,3.0,2,balanced,0.4,0.8929,0.9545,0.7143,1.0,0.8333
BASE,5,3.0,2,balanced,0.45,0.8929,0.9545,0.7143,1.0,0.8333
BASE,5,3.0,2,balanced,0.5,0.8929,0.9545,0.7143,1.0,0.8333
BASE,6,3.0,2,balanced_subsample,0.35,0.8929,0.9545,0.7143,1.0,0.8333
BASE,6,3.0,2,balanced_subsample,0.4,0.8929,0.9545,0.7143,1.0,0.8333
BASE,7,3.0,2,"{'INDUSTRIAL_FIRE': 2.0, 'PERSISTENT_INDUSTRIAL_SOURCE': 1.0}",0.35,0.8929,0.9545,0.7143,1.0,0.8333
BASE,7,3.0,2,"{'INDUSTRIAL_FIRE': 2.0, 'PERSISTENT_INDUSTRIAL_SOURCE': 1.0}",0.4,0.8929,0.9545,0.7143,1.0,0.8333
BASE,8,3.0,2,"{'INDUSTRIAL_FIRE': 3.0, 'PERSISTENT_INDUSTRIAL_SOURCE': 1.0}",0.4,0.8929,0.9545,0.7143,1.0,0.8333
BASE,8,3.0,2,"{'INDUSTRIAL_FIRE': 3.0, 'PERSISTENT_INDUSTRIAL_SOURCE': 1.0}",0.45,0.8929,0.9545,0.7143,1.0,0.8333
BASE,9,4.0,1,balanced,0.4,0.8929,0.9545,0.7143,1.0,0.8333
BASE,9,4.0,1,balanced,0.45,0.8929,0.9545,0.7143,1.0,0.8333
BASE,10,4.0,1,balanced_subsample,0.25,0.8929,0.9545,0.7143,1.0,0.8333
BASE,10,4.0,1,balanced_subsample,0.3,0.8929,0.9545,0.7143,1.0,0.8333
BASE,10,4.0,1,balanced_subsample,0.35,0.8929,0.9545,0.7143,1.0,0.8333
BASE,11,4.0,1,"{'INDUSTRIAL_FIRE': 2.0, 'PERSISTENT_INDUSTRIAL_SOURCE': 1.0}",0.35,0.8929,0.9545,0.7143,1.0,0.8333
BASE,11,4.0,1,"{'INDUSTRIAL_FIRE': 2.0, 'PERSISTENT_INDUSTRIAL_SOURCE': 1.0}",0.4,0.8929,0.9545,0.7143,1.0,0.8333
BASE,12,4.0,1,"{'INDUSTRIAL_FIRE': 3.0, 'PERSISTENT_INDUSTRIAL_SOURCE': 1.0}",0.35,0.8929,0.9545,0.7143,1.0,0.8333
BASE,12,4.0,1,"{'INDUSTRIAL_FIRE': 3.0, 'PERSISTENT_INDUSTRIAL_SOURCE': 1.0}",0.4,0.8929,0.9545,0.7143,1.0,0.8333
BASE,12,4.0,1,"{'INDUSTRIAL_FIRE': 3.0, 'PERSISTENT_INDUSTRIAL_SOURCE': 1.0}",0.45,0.8929,0.9545,0.7143,1.0,0.8333
BASE,13,4.0,2,balanced,0.4,0.8929,0.9545,0.7143,1.0,0.8333
BASE,13,4.0,2,balanced,0.45,0.8929,0.9545,0.7143,1.0,0.8333
BASE,13,4.0,2,balanced,0.5,0.8929,0.9545,0.7143,1.0,0.8333
BASE,14,4.0,2,balanced_subsample,0.35,0.8929,0.9545,0.7143,1.0,0.8333
BASE,14,4.0,2,balanced_subsample,0.4,0.8929,0.9545,0.7143,1.0,0.8333
BASE,15,4.0,2,"{'INDUSTRIAL_FIRE': 2.0, 'PERSISTENT_INDUSTRIAL_SOURCE': 1.0}",0.35,0.8929,0.9545,0.7143,1.0,0.8333
BASE,15,4.0,2,"{'INDUSTRIAL_FIRE': 2.0, 'PERSISTENT_INDUSTRIAL_SOURCE': 1.0}",0.4,0.8929,0.9545,0.7143,1.0,0.8333
